Region,"GDP(CNY,B)",Growth Rate of GDP(%),Per capita GDP(CNY),"Fixed Asset Investment(CNY,B)","Total Value of Imports and Exports(CNY,B)",Per Capita Disposable Income(CNY),"Industrial Increase Volume(CNY,B)","Budget Revenue(CNY,B)","Budget Expenditure(CNY,B)","Tax Revenue(CNY,B)",Share of Tax Revenue(%),"Revenue of Government-Managed Funds(CNY,B)","Expenditure of Government-Managed Funds(CNY,B)"
China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guangdong,12911.858,1.9,101905,1496.297,NA,56905,3953.35213,1327.9733700000002,1850.99323,928.52166,69.92020178838375,519.6187299999999,858.723
Jiangsu,12287.56,2.8,144390,1240.68838,NA,60178,NA,925.88829,1490.31912,680.32223,73.47778747693202,1147.85823,1160.46472
Shandong,8743.51,3.9,86003,922.59,NA,49050,NA,710.40413,1213.15388,479.54628,67.50330688533582,608.04071,908.00437
Zhejiang,7771.5,3.1,118496,1294,NA,71268,2190,803.9384600000001,1201.76991,661.9858,82.3428449983597,1006.89728,1135.44318
Henan,6134.505,3.1,62106,679.336,NA,38484,NA,426.16,1064.46,NA,NA,221.32,396.67
Sichuan,5674.981,2.9,67777,750.0011400000001,NA,43233,NA,488.21991,1191.46661,315.10721,64.54206466098444,478.0499,659.67759
Hubei,5373.492319999999,4.3,92059,617.20071,NA,42626,NA,351.3,853.2,NA,NA,368.1,361.3
Fujian,5310.985,4.7,126829,551.545,NA,53817,NA,333.906,570.293,NA,NA,263.132,420.652
Hunan,4867.03651,4.498787,73598,518.03,NA,47301,NA,310.18,900.525,200.45,64.6237668450577,315.95,NA
Anhui,4504.5,3.5,73603,681.17,NA,45133,NA,358.9053,837.8886699999999,224.66159,62.59634226633042,309.10278,468.47427
Shanghai,4465.280000000001,-0.2,179907,497.95393,NA,84034,NA,760.8199999999999,939.32,634.92,83.45206487736915,404.15,373.65
Hebei,4237.04,3.8,56995,498.29744,84.31702800000001,41278,NA,408.39771,933.64502,224.26982,54.91456355129905,201.60978,391.72914
Beijing,4161.09,0.7,190000,417.84569,NA,84023,NA,571.43583,746.9154900000001,486.70714,85.17266759418989,222.74561,264.2102
Shaanxi,3277.268,4.3,82864,425.479,NA,42431,NA,331.15790000000004,676.63393,268.2846,81.01410233607594,195.56434,NA
Jiangxi,3207.4,4.7,70923,220.92704,NA,43697,NA,294.83000000000004,728.83,178.89,60.67564359122206,225.2,348.4
Chongqing,2912.903,2.6,90663,346.76,NA,45509,NA,210.33771,489.27769,127.08934000000001,60.42156682223078,175.39494,NA
Liaoning,2897.51,2.1,68775,236.20006,NA,44003,NA,252.43,625.3,NA,NA,52.44,111.96
Yunnan,2895.42,4.3,61716,315.202,50.042,42168,NA,194.93238,669.97371,119.71882,61.41556369444625,62.08153,183.87966
Guangxi,2630.087,2.9,52164,230.738,NA,39703,NA,NA,NA,NA,NA,NA,NA
Shanxi,2564.259,4.4,73675,176.41986,NA,39532,NA,345.39,587.26,269.645,78.06971828946988,62.897000000000006,148.972
Neimenggu(Inner Mongolia),2315.865,4.2,96474,97.83,NA,46295,NA,282.44,588.51,213.44,75.57003257328991,40.77,68.08
Guizhou,2016.458,1.2,52321,240.36899,NA,41086,NA,188.63555,584.91685,102.17008,54.16268566555986,204.12615,229.08965
Xinjiang,1774.134,3.2,68552,115.886,36.684,38410,NA,188.92,572.61,122.18,64.67287740842684,52.89,145.16
Tianjin,1631.134,1,119235,212.79393,NA,53003,NA,184.65516,275.15233,134.68058000000002,72.93626671466966,42.36627,115.21329
Heilongjiang,1590.1,2.7,51096,62.86412,NA,35042,NA,129.06,545.2,NA,NA,15.29,55.23
Jilin,1307.024,-1.9,55347,101.48385,NA,35471,NA,85.1,404.4,57.06,67.05052878965923,36.57,123.39
Gansu,1120.16,4.5,44968,148.16577999999998,NA,37572.4,NA,90.76,426.35,58.27,64.20229175848392,67.86,92.81
Hainan,681.822,0.2,66602,115.83702,NA,40118,NA,83.24170000000001,209.55224,60.93196,73.19884144605409,46.88613,87.87429
Ningxia,506.957,4,69781,41.995,NA,40194,NA,46.010000000000005,158.35,30.68,66.68115627037601,12.919999999999998,13.7
Qinghai,361.007,2.3,60724,29.614780000000003,NA,38736,NA,32.910000000000004,197.51,NA,NA,32.08,32.08
Tibet,213.264,1.1,58438,6.068,NA,48753,NA,NA,NA,NA,NA,NA,NA
Source: Wind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
